p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
GLTSCR2	3.41247371937968e-40	0.616459273732984	0.908	0.801	4.6798664587573e-36	0	GLTSCR2
RPL38	1.1042343954735e-38	0.545325158364903	0.95	0.87	1.51434704995236e-34	0	RPL38
RPLP1	1.16160819368567e-37	0.325336085360895	0.999	0.997	1.59302947682053e-33	0	RPLP1
RPL37	1.95432123568297e-37	0.470529534456404	0.983	0.94	2.68015614261563e-33	0	RPL37
PIK3IP1	5.75474818447155e-37	1.37273361126259	0.42	0.188	7.89206166018429e-33	0	PIK3IP1
EEF1B2	7.82799551070236e-37	0.501060823332589	0.931	0.866	1.07353130433772e-32	0	EEF1B2
RPS21	1.18340274901686e-35	0.525758348928098	0.937	0.834	1.62291853000172e-31	0	RPS21
RPL12	1.21550975619055e-35	0.30276690340828	1	0.988	1.66695007963973e-31	0	RPL12
RPS26	3.03260719965645e-35	0.480546505313274	0.954	0.896	4.15891751360885e-31	0	RPS26
RPL35	2.22786546099514e-33	0.398308010930113	0.987	0.964	3.05529469320874e-29	0	RPL35
FHIT	1.11857817022239e-32	2.41895345580278	0.185	0.045	1.53401810264298e-28	0	FHIT
MAL	3.66931752798457e-32	1.88341360607648	0.259	0.087	5.03210205787804e-28	0	MAL
LTB	8.23277178966303e-32	0.542514291196633	0.897	0.633	1.12904232323439e-27	0	LTB
RPL24	1.0808528367907e-31	0.418037658427667	0.977	0.94	1.48228158037477e-27	0	RPL24
RPL27	2.83130982870817e-31	0.391968068706796	0.974	0.949	3.88285829909039e-27	0	RPL27
RPL34	7.09629036955241e-31	0.625101490347242	0.924	0.904	9.73185261280417e-27	0	RPL34
RPSAP58	8.58583330976567e-31	0.591608075711852	0.835	0.693	1.17746118010126e-26	0	RPSAP58
RPL37A	1.53741387888089e-30	0.385314307812715	0.981	0.942	2.10840939349726e-26	0	RPL37A
NELL2	2.99389109608999e-30	2.22965492749936	0.155	0.033	4.10582224917781e-26	0	NELL2
CD7	2.44116915821843e-29	0.747000743901023	0.545	0.305	3.34781938358075e-25	0	CD7
CD27	4.5675139641897e-29	0.978102721341822	0.392	0.185	6.26388865048976e-25	0	CD27
TCF7	5.94327126552668e-29	1.24475526869461	0.374	0.182	8.1506022135433e-25	0	TCF7
RPS4Y1	4.17374417556966e-28	0.489224050875404	0.927	0.868	5.72387276237623e-24	0	RPS4Y1
C6orf48	2.61039772780435e-27	0.917676901496841	0.67	0.494	3.57989944391089e-23	0	C6orf48
RPL6	2.04448020546021e-26	0.27720024582596	0.996	0.993	2.80380015376814e-22	0	RPL6
LINC00176	1.59651554611288e-25	2.53401432120071	0.141	0.033	2.18946141993921e-21	0	LINC00176
RPL7A	3.75653437090424e-25	0.329630338515006	0.981	0.974	5.15171123625808e-21	0	RPL7A
RPL15	7.04926915910541e-25	0.273230398244927	0.996	0.993	9.66736772479716e-21	0	RPL15
LDLRAP1	2.15447836847245e-22	2.15918746562975	0.226	0.09	2.95465163452312e-18	0	LDLRAP1
AES	3.7390549074328e-22	0.702184041092805	0.631	0.439	5.12773990005334e-18	0	AES
ADTRP	8.57693619548786e-22	2.81314463462797	0.098	0.017	1.1762410298492e-17	0	ADTRP
LEPROTL1	3.70725100306703e-21	1.09405357378633	0.379	0.216	5.08412402560612e-17	0	LEPROTL1
TOMM7	6.67234629647787e-21	0.510205728736385	0.832	0.753	9.15045571098975e-17	0	TOMM7
C12orf57	7.02301597205559e-21	1.12869420276306	0.427	0.258	9.63136410407704e-17	0	C12orf57
RGCC	1.77892604296052e-20	1.11122874269232	0.351	0.188	2.43961917531606e-16	0	RGCC
RPL28	2.84602789459109e-20	0.20230516162331	1	0.993	3.90304265464221e-16	0	RPL28
OXNAD1	2.90683362390231e-20	1.65007668596625	0.211	0.085	3.98643163181962e-16	0	OXNAD1
IL32	4.37475036949014e-20	0.324485870784081	0.77	0.479	5.99953265671878e-16	0	IL32
RPL26	5.07095694065212e-20	0.253617206930744	0.996	0.991	6.95431034841032e-16	0	RPL26
TRABD2A	8.4941155124954e-20	1.4388039561703	0.18	0.066	1.16488300138362e-15	0	TRABD2A
RPL29	3.83919384877104e-19	0.242664006380952	0.994	0.981	5.26507044420461e-15	0	RPL29
SH3YL1	3.95099144519759e-19	1.63130072751667	0.184	0.069	5.41838966794397e-15	0	SH3YL1
RP11-291B21.2	4.0933018514842e-19	2.77165692848106	0.091	0.017	5.61355415912543e-15	0	RP11-291B21.2
TMEM123	8.37519364955011e-19	0.732658879264324	0.539	0.385	1.1485740570993e-14	0	TMEM123
NDFIP1	1.2878148144113e-18	1.06650988996139	0.435	0.284	1.76610923648365e-14	0	NDFIP1
CD3G	1.830495214936e-18	0.962589027279118	0.335	0.178	2.51034113776324e-14	0	CD3G
LCK	2.42094767085389e-18	0.768815173327752	0.491	0.313	3.32008763580902e-14	0	LCK
RPS7	2.49297579391979e-18	0.260047557508269	0.997	0.987	3.4188670037816e-14	0	RPS7
RP11-664D1.1	8.5034398798352e-18	2.09328626949688	0.119	0.034	1.1661617451206e-13	0	RP11-664D1.1
HNRNPA1	2.8863352725241e-17	0.311986471066068	0.95	0.914	3.95832019273955e-13	0	HNRNPA1
RHOH	6.02530582653039e-17	1.02799379335656	0.361	0.21	8.26310441050378e-13	0	RHOH
EPHX2	7.60536207609158e-17	2.0592167151721	0.114	0.032	1.0429993551152e-12	0	EPHX2
NGFRAP1	7.98939681052837e-17	1.0615171108297	0.165	0.062	1.09566587859586e-12	0	NGFRAP1
HINT1	1.15959370165974e-16	0.45350553627519	0.731	0.607	1.59026680245617e-12	0	HINT1
RPS9	2.61254626133164e-16	0.206875488621725	0.991	0.985	3.58284594279021e-12	0	RPS9
FLT3LG	2.79156515735512e-16	1.19945780288616	0.264	0.14	3.82835245679682e-12	0	FLT3LG
CD8B	3.25509406248104e-16	1.37370578976448	0.211	0.096	4.4640359972865e-12	0	CD8B
TRAT1	4.12686047474238e-16	1.07899980705665	0.264	0.137	5.6595764550617e-12	0	TRAT1
ZFP36L2	8.4200766222768e-16	0.560758434187851	0.739	0.618	1.15472930797904e-11	0	ZFP36L2
APBA2	9.93798954249606e-16	2.11658331636376	0.109	0.032	1.36289588585791e-11	0	APBA2
TSHZ2	1.12814651520416e-15	2.48570140031605	0.091	0.022	1.54714013095098e-11	0	TSHZ2
MYC	1.58126889133831e-15	1.0793991054676	0.234	0.116	2.16855215758136e-11	0	MYC
DNAJB1	1.90879847134564e-15	0.95323668146309	0.392	0.256	2.61772622360341e-11	0	DNAJB1
GIMAP5	2.21079557887561e-15	0.749828077101153	0.389	0.245	3.03188505687001e-11	0	GIMAP5
C14orf64	7.6652961987908e-15	1.91310429619596	0.111	0.034	1.05121872070217e-10	0	C14orf64
AAK1	1.33290019805725e-14	1.26108782116822	0.228	0.116	1.82793933161571e-10	0	AAK1
SCGB3A1	2.13199212049225e-14	2.21808191852216	0.106	0.033	2.92381399404307e-10	0	SCGB3A1
PLEKHB1	3.09461521885323e-14	2.07680191434808	0.082	0.02	4.24395531113532e-10	0	PLEKHB1
GYPC	3.74462875236402e-14	0.824701018507718	0.391	0.255	5.13538387099202e-10	0	GYPC
EVL	4.22355616892149e-14	0.49696660041206	0.635	0.494	5.79218493005893e-10	0	EVL
RPL8	4.90701192685997e-14	0.215260978455031	0.99	0.986	6.72947615649576e-10	0	RPL8
NUCB2	6.70074847693652e-14	1.27650664854853	0.191	0.089	9.18940646127074e-10	0	NUCB2
ACAP1	2.2607550225083e-13	0.964968016561867	0.401	0.268	3.10039943786788e-09	0	ACAP1
GNB2L1	2.63671361292332e-13	0.238484069658133	0.984	0.974	3.61598904876304e-09	0	GNB2L1
CD6	5.07688135543277e-13	1.26050578262893	0.181	0.084	6.9624350908405e-09	0	CD6
SELL	6.08386009471896e-13	0.398661962454288	0.566	0.434	8.34340573389759e-09	0	SELL
PEBP1	1.4615063928548e-12	0.63324989411783	0.476	0.344	2.00430986716107e-08	0	PEBP1
RCAN3	2.4614388864018e-12	1.35210412470124	0.177	0.085	3.37561728881143e-08	0	RCAN3
RPL23	2.77140938360405e-12	0.295518830884205	0.889	0.839	3.80071082867459e-08	0	RPL23
ACTN1	4.18967844940274e-12	1.08107986590651	0.131	0.052	5.74572502551091e-08	0	ACTN1
EIF4A2	5.6483825890232e-12	0.480335010199596	0.718	0.61	7.74619188258642e-08	0	EIF4A2
CD2	5.77488198246137e-12	0.363850094487821	0.425	0.279	7.91967315074752e-08	0	CD2
SRSF5	9.79555298911158e-12	0.309002768468828	0.783	0.71	1.34336213692676e-07	0	SRSF5
BEX2	1.09298742670912e-11	1.00598704048506	0.174	0.083	1.49892295698888e-07	0	BEX2
EEF1D	1.13566704060127e-11	0.259840159791928	0.951	0.964	1.55745377948058e-07	0	EEF1D
RGS10	2.16563774776363e-11	0.592295591915397	0.501	0.384	2.96995560728304e-07	0	RGS10
RP11-51J9.5	2.37241804565134e-11	1.36470157548423	0.181	0.091	3.25353410780625e-07	0	RP11-51J9.5
TMEM204	2.46705741985696e-11	1.43049171695976	0.134	0.057	3.38332254559184e-07	0	TMEM204
GIMAP7	2.72086861613416e-11	0.36423406456469	0.618	0.506	3.73139922016639e-07	0	GIMAP7
LAT	2.98838864426088e-11	0.78829570890834	0.305	0.189	4.09827618673937e-07	0	LAT
COMMD6	3.0833164307035e-11	0.46246422895969	0.658	0.577	4.22846015306677e-07	0	COMMD6
HSPA8	5.29162782180637e-11	0.390575822213794	0.753	0.64	7.25693839482526e-07	0	HSPA8
AQP3	5.87904945119165e-11	0.813230540078025	0.243	0.139	8.06252841736423e-07	0	AQP3
C2orf40	1.02493572998935e-10	5.64411382800796	0.023	0	1.4055968601074e-06	0	C2orf40
PRKCA	1.30630003880118e-10	2.14552653354607	0.086	0.029	1.79145987321194e-06	0	PRKCA
OCIAD2	1.82990163984762e-10	0.703542466073362	0.307	0.197	2.50952710888703e-06	0	OCIAD2
SELM	2.04160448105446e-10	1.11120347846512	0.165	0.082	2.79985638531808e-06	0	SELM
CAMK4	2.51657836858531e-10	1.30481873476275	0.155	0.076	3.45123557467789e-06	0	CAMK4
SLC2A3	4.12724070613278e-10	0.729341784294751	0.328	0.222	5.66009790439049e-06	0	SLC2A3
REG4	4.48477534982278e-10	5.90215298466903	0.022	0	6.15042091474695e-06	0	REG4
NOG	5.0259785433955e-10	4.14806523871162	0.032	0.003	6.8926269744126e-06	0	NOG
NACA	9.8125461198679e-10	0.273343521097822	0.973	0.968	1.34569257487868e-05	0	NACA
RP11-18H21.1	1.23653307536805e-09	2.08373465961477	0.08	0.028	1.69578145955975e-05	0	RP11-18H21.1
CD69	1.2650110531265e-09	0.462714739166948	0.451	0.327	1.73483615825769e-05	0	CD69
PFN2	2.13850480373176e-09	2.78028888519157	0.033	0.004	2.93274548783773e-05	0	PFN2
SOD1	2.20855700476509e-09	0.513444862379923	0.578	0.485	3.02881507633485e-05	0	SOD1
PRDX2	2.52651306538158e-09	0.692245711373019	0.364	0.261	3.4648600178643e-05	0	PRDX2
TCEA3	2.87652822212801e-09	2.20578686587027	0.076	0.026	3.94487080382636e-05	0	TCEA3
TBC1D4	4.73553498641131e-09	1.74782081563851	0.072	0.024	6.49431268036447e-05	0	TBC1D4
PABPC1	5.09086632194255e-09	0.274457960635689	0.869	0.85	6.98161407391201e-05	0	PABPC1
SATB1	5.75779237141889e-09	1.13644695484675	0.136	0.067	7.89623645816387e-05	0	SATB1
RIC3	6.10025600960772e-09	0.839861382536379	0.152	0.077	8.36589109157602e-05	0	RIC3
SNRPD2	8.76250519151835e-09	0.45771609072	0.631	0.544	0.000120168996196483	0	SNRPD2
TMIGD2	8.94911364815993e-09	1.293351002288	0.099	0.041	0.000122728144570865	0	TMIGD2
COX7C	1.01837513835911e-08	0.391729461434998	0.737	0.676	0.000139659966474568	0	COX7C
FYB	1.1461779726645e-08	0.397097229218796	0.435	0.343	0.000157186847171209	0	FYB
LRRN3	1.16857944921546e-08	2.64868640939767	0.036	0.006	0.000160258985665408	0	LRRN3
CISH	1.26849883024195e-08	0.949748975968251	0.125	0.06	0.000173961929579381	0	CISH
PPA1	1.26946890360761e-08	0.607613728279226	0.381	0.29	0.000174094965440747	0	PPA1
TNRC6C	1.53096260906515e-08	1.45244595173772	0.089	0.035	0.000209956212207195	0	TNRC6C
GTSCR1	1.7202804294615e-08	7.16373335685509	0.016	0	0.00023591925809635	0	GTSCR1
RP11-799D4.4	1.93449214867932e-08	2.48484382142927	0.033	0.005	0.000265296253269882	0	RP11-799D4.4
SOCS3	2.04872322289325e-08	1.04162696007298	0.237	0.152	0.000280961902787581	0	SOCS3
CXCR4	2.15468895340584e-08	0.266866653879324	0.678	0.571	0.000295494043070077	0	CXCR4
CD5	2.80863571462084e-08	1.34270641461552	0.119	0.057	0.000385176301903101	0	CD5
NBEAL1	3.0869036849132e-08	0.337963524550496	0.73	0.661	0.000423337971348997	0	NBEAL1
LINC00861	3.92376404039064e-08	1.18935454426098	0.139	0.072	0.000538105000499173	0	LINC00861
BTG2	4.02950496757004e-08	0.648662295213695	0.424	0.334	0.000552606311252555	0	BTG2
TESPA1	6.67449593095855e-08	1.46107450504456	0.112	0.054	0.000915340371971655	0	TESPA1
MGAT4A	6.69476875763844e-08	0.92011127955593	0.182	0.107	0.000918120587422535	0	MGAT4A
TRAF3IP3	7.67253710146551e-08	0.622199726973344	0.534	0.461	0.00105221173809498	0	TRAF3IP3
FAM153A	8.8484173138017e-08	3.88030436233066	0.02	0.001	0.00121347195041477	0	FAM153A
PCSK1N	8.99181755192114e-08	1.66469645209594	0.068	0.024	0.00123313785907047	0	PCSK1N
SCML4	1.08658122246499e-07	1.32996764467682	0.116	0.057	0.00149013748848849	0	SCML4
RSL1D1	1.13346952189513e-07	0.648617579986971	0.394	0.303	0.00155444010232698	0	RSL1D1
BNIP3	1.21699057201078e-07	1.83174072333635	0.068	0.025	0.00166898087045559	0	BNIP3
DDX5	1.41820370525676e-07	0.268016140950232	0.858	0.793	0.00194492456138912	0	DDX5
MMP28	1.72928288381457e-07	4.38046193700449	0.016	0	0.0023715385468633	0	MMP28
BCL11B	2.08603019613277e-07	1.04071450439496	0.126	0.065	0.00286078181097648	0	BCL11B
JUN	2.14865151976042e-07	0.327286195435572	0.754	0.732	0.00294666069419944	0	JUN
SERINC5	2.24833978907255e-07	1.56981289517078	0.089	0.04	0.00308337318673409	0	SERINC5
RGL4	2.3075053504674e-07	1.11907660274514	0.161	0.093	0.00316451283763099	0	RGL4
AC013264.2	2.58405661913251e-07	1.57395093413739	0.079	0.033	0.00354377524747832	0	AC013264.2
ST13	2.64678245965193e-07	0.503739094345511	0.461	0.378	0.00362979746516666	0	ST13
SPOCK2	3.0618412737566e-07	0.589788203492969	0.276	0.187	0.0041990091228298	0	SPOCK2
PASK	3.49368105827541e-07	0.639385535314642	0.103	0.05	0.0047912342033189	0	PASK
CYTIP	3.75972158359903e-07	0.367809184614504	0.405	0.316	0.0051560821797477	0	CYTIP
CCDC109B	4.51219558585795e-07	0.713856722523121	0.385	0.301	0.00618802502644559	0	CCDC109B
BCL2	5.25302564993231e-07	1.00948389124997	0.121	0.062	0.00720399937631717	0	BCL2
CTC-523E23.11	6.6123805605842e-07	1.32498499308282	0.092	0.042	0.00906821870078517	0	CTC-523E23.11
SUSD3	6.67725773027663e-07	0.760726003703535	0.193	0.122	0.00915719125130137	0	SUSD3
ATP6V0E2	7.08576176378699e-07	1.41196360941958	0.131	0.071	0.00971741368285748	0	ATP6V0E2
MZT2B	7.52555950759708e-07	0.572987618451988	0.434	0.356	0.0103205523087186	0	MZT2B
TXK	7.54591315497351e-07	0.989101201200756	0.121	0.063	0.0103484653007307	0	TXK
ITK	7.94362928127945e-07	1.04908230392888	0.122	0.064	0.0108938931963466	0	ITK
MDS2	1.07626889167928e-06	2.2380789072865	0.042	0.012	0.0147599515804897	0	MDS2
SFXN1	1.28707705311408e-06	1.56837293006394	0.07	0.029	0.0176509747064065	0	SFXN1
GCC2	1.34660382241432e-06	0.955992662257389	0.162	0.099	0.0184673248205899	0	GCC2
CD40LG	1.62398645781915e-06	0.780783310494516	0.149	0.087	0.0222713502825318	0	CD40LG
PIM2	1.69008199533494e-06	0.822752889532492	0.204	0.132	0.0231777844840234	0	PIM2
CARS	1.73272990432682e-06	1.2755006978271	0.099	0.049	0.0237626579079381	0	CARS
PCED1B	4.01960406091936e-06	1.09792644437719	0.093	0.046	0.0551248500914481	0	PCED1B
EEF1G	5.12165670877788e-06	0.641073251507679	0.296	0.226	0.0702384001041799	0	EEF1G
STMN3	5.86343431475245e-06	0.842529695558013	0.149	0.09	0.0804111381925151	0	STMN3
PSIP1	6.13989131606788e-06	0.756293971605879	0.239	0.171	0.084202469508555	0	PSIP1
CMTM8	6.60494365270897e-06	1.41931131000685	0.072	0.032	0.0905801972532508	0	CMTM8
STK17A	7.15390477527739e-06	0.393775638308809	0.376	0.293	0.0981086500881542	0	STK17A
TMA7	7.65275289159185e-06	0.405661845212054	0.728	0.652	0.104949853155291	0	TMA7
SOCS1	8.20074386329364e-06	1.39850441308201	0.086	0.043	0.112465001341209	0	SOCS1
GSTM3	9.10976536194386e-06	1.6600935857253	0.05	0.019	0.124931322173698	0	GSTM3
RPL41	1.03868468605976e-05	0.35055460405797	0.578	0.525	0.142445217846235	0	RPL41
ANXA2R	1.06434522660238e-05	0.541640683007008	0.231	0.161	0.145964304376251	0	ANXA2R
UXT	1.06549761030479e-05	0.547178385566995	0.453	0.389	0.146122342277198	0	UXT
FAU	1.08373061507491e-05	0.12266498145196	0.984	0.981	0.148622816551373	0	FAU
AK5	1.36827401853406e-05	1.67462422257175	0.043	0.015	0.187645098901761	0	AK5
C17orf62	1.52036191573607e-05	0.292169352404554	0.099	0.174	0.208502433124045	0	C17orf62
FBLN5	1.56252521891477e-05	1.36272633567464	0.073	0.035	0.214284708521971	0	FBLN5
MT-ND4	1.69973972991853e-05	0.173489019684954	0.964	0.957	0.233102306561027	0	MT-ND4
RP11-796E2.4	2.02041224659055e-05	0.639791393319302	0.172	0.111	0.277079335497428	0	RP11-796E2.4
NDUFA2	2.18815082732526e-05	0.299771000400633	0.191	0.28	0.300083004459386	0	NDUFA2
TMEM63A	2.25658589232616e-05	1.18226908853045	0.082	0.041	0.30946818927361	0	TMEM63A
LGALS3BP	2.35656328765832e-05	0.681498684125164	0.096	0.052	0.323179089269462	0	LGALS3BP
RP11-277L2.3	2.49128550950742e-05	1.15912661438877	0.059	0.025	0.341654894773848	0	RP11-277L2.3
GIMAP4	2.55265928689433e-05	0.258251878030959	0.506	0.439	0.350071694604689	0	GIMAP4
FOXP1	2.74765005617146e-05	0.907620515298319	0.21	0.149	0.376812728703354	0	FOXP1
PSMD5-AS1	2.84987273177173e-05	0.875812172562	0.152	0.096	0.390831546435176	0	PSMD5-AS1
ITGA6	2.92671247550913e-05	1.83920587628987	0.037	0.012	0.401369348891322	0	ITGA6
NFU1	3.09099638775593e-05	0.210398876578772	0.043	0.094	0.423899244616848	0	NFU1
EIF3E	3.10848768195407e-05	0.510941216213033	0.417	0.359	0.426298000703182	0	EIF3E
ITM2A	3.14580206922104e-05	1.13783490665929	0.17	0.111	0.431415295772973	0	ITM2A
ZNF101	3.24081272881442e-05	1.22877092911552	0.092	0.049	0.44444505762961	0	ZNF101
FAM102A	3.47081835504908e-05	1.13460361717746	0.109	0.063	0.475988029211431	0	FAM102A
SNHG8	3.5850585656808e-05	0.796000473894066	0.3	0.234	0.491654931697465	0	SNHG8
FKBP5	3.68248943391646e-05	0.356402808586826	0.115	0.068	0.505016600967303	0	FKBP5
GPR155	3.90240565825386e-05	1.46102231880998	0.07	0.034	0.535175911972934	0	GPR155
FAM134B	4.27702322561618e-05	1.32416366923921	0.065	0.03	0.586550965161003	0	FAM134B
FAM153B	4.29084934630421e-05	2.92836285274036	0.02	0.004	0.588447079352159	0	FAM153B
LYPD3	6.50587152487718e-05	2.08994928014611	0.032	0.01	0.892215220921657	0	LYPD3
DNAJA3	6.92328680112754e-05	0.952949550953352	0.073	0.037	0.949459551906631	0	DNAJA3
PDE7A	7.12562084098452e-05	1.2557283426627	0.08	0.042	0.977207642132617	0	PDE7A
MTCH2	7.24930820166454e-05	0.339147789716686	0.046	0.095	0.994170126776275	0	MTCH2
CTD-2020K17.4	7.78839744330441e-05	3.41046215908731	0.016	0.002	1	0	CTD-2020K17.4
TMC8	8.29664530424989e-05	0.605163601000212	0.177	0.121	1	0	TMC8
LINC00649	8.52401743668569e-05	1.07115978374517	0.078	0.04	1	0	LINC00649
CSGALNACT1	8.5355667990278e-05	1.69662308774293	0.046	0.019	1	0	CSGALNACT1
EPHB6	8.7460399022767e-05	1.41183225327266	0.037	0.013	1	0	EPHB6
NAP1L1	9.12870753895892e-05	0.119474520958255	0.626	0.554	1	0	NAP1L1
KLF5	9.32147947847681e-05	3.21184865937283	0.013	0.001	1	0	KLF5
BTF3	0.000106245872442641	0.290085101529007	0.902	0.891	1	0	BTF3
ATM	0.000107059464740091	0.629003384618305	0.185	0.13	1	0	ATM
